bildname;roi_nummer;label
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi10;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_22_29-392.png;roi11;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_07-146.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_07-146.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_14-534.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_33-840.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_33-840.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_23_33-840.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi7;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_00-261.png;roi8;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_08-031.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_08-031.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_08-031.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi7;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi8;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_24_37-517.png;roi9;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_25_32-280.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_25_32-280.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_25_32-280.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_25_32-280.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_25_32-280.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_17-003.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_17-003.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_17-003.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_17-003.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_59-177.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_59-177.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_59-177.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_28_59-177.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi7;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_11-09_30_32-443.png;roi8;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_26_37-685.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_26_37-685.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_26_37-685.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_27_52-514.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_27_52-514.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-08_27_52-514.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_00_52-641.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_00_59-127.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_00_59-127.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_00_59-127.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_24-209.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_24-209.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_24-209.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_58-922.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_58-922.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_58-922.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D und 3D\2026_03_19-09_04_58-922.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_05-974.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_13-794.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_13-794.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_13-794.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_21-590.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_21-590.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_21-590.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_21-590.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_21-590.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi7;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_37-199.png;roi8;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_45-019.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_22_53-019.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_00-353.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_00-353.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_20-950.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_20-950.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_20-950.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_20-950.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_40-521.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_46-859.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_46-859.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_46-859.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_46-859.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_53-337.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_53-337.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_53-337.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_23_53-337.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_30-217.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_51-728.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_51-728.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_51-728.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_51-728.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_58-685.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_58-685.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_24_58-685.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_06-198.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_06-198.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_06-198.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_12-544.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_19-086.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_25-722.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_39-415.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_39-415.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_39-415.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_39-415.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_39-415.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_47-041.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_54-574.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_54-574.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_54-574.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_25_54-574.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_01-780.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_01-780.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi5;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_08-204.png;roi6;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi0;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi1;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi2;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi3;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi4;
C:\anomalydino_data_single_object_normalmap\normalmap\test\bad\2D\2026_03_11-09_26_14-520.png;roi5;
